cnes;Regi?o de Sa?de;Regi?o Administrativa
5927579;Central;Lago Sul
7981457;Central;Sudoeste/Octogonal
9528911;Central;Plano Piloto
10707;Central;Plano Piloto
6820131;Central;Plano Piloto
5085047;Central;Lago Sul
6599516;Central;Plano Piloto
6707513;Central;Plano Piloto
9058362;Central;Plano Piloto
9445714;Central;Plano Piloto
4493656;Central;Plano Piloto
3973069;Central;Plano Piloto
7122977;Central;Plano Piloto
9385738;Central;Plano Piloto
7693796;Central;Lago Sul
3452093;Central;Plano Piloto
3035751;Central;Lago Sul
9354514;Central;Plano Piloto
426024;Central;Plano Piloto
9974059;Central;Plano Piloto
6354955;Central;Plano Piloto
4784499;Central;Plano Piloto
3034844;Central;Plano Piloto
9556338;Central;Lago Sul
4712463;Central;Plano Piloto
9039066;Central;Plano Piloto
5326044;Central;Sudoeste/Octogonal
9920463;Central;Plano Piloto
985872;Central;Plano Piloto
4523229;Central;Plano Piloto
4433254;Central;Plano Piloto
9769544;Central;Sudoeste/Octogonal
7771789;Central;Plano Piloto
6794432;Central;Plano Piloto
4948963;Central;Plano Piloto
7879598;Central;Plano Piloto
7278179;Central;Plano Piloto
3289079;Central;Plano Piloto
802182;Central;Plano Piloto
7750501;Central;Plano Piloto
3401758;Central;Plano Piloto
3029670;Central;Plano Piloto
7092725;Central;Plano Piloto
9607811;Central;Plano Piloto
7197136;Central;Plano Piloto
4099753;Central;Plano Piloto
6351883;Central;Plano Piloto
7380348;Central;Plano Piloto
4763556;Central;Sudoeste/Octogonal
990094;Central;Lago Sul
3464954;Central;Plano Piloto
9105751;Central;Plano Piloto
3252264;Central;Plano Piloto
9354379;Central;Plano Piloto
4632923;Central;Lago Sul
9380493;Central;Plano Piloto
4497341;Central;Plano Piloto
5375037;Central;Plano Piloto
3212807;Central;Plano Piloto
5411106;Central;Plano Piloto
4042204;Central;Plano Piloto
4219201;Central;Plano Piloto
7869452;Central;Plano Piloto
4679458;Central;Plano Piloto
4527275;Central;Lago Sul
7828772;Central;Plano Piloto
4137760;Central;Plano Piloto
3102653;Central;Plano Piloto
4462084;Central;Plano Piloto
7380151;Central;Plano Piloto
2998688;Central;Plano Piloto
6435955;Central;Plano Piloto
4147030;Central;Plano Piloto
3363996;Central;Plano Piloto
676365;Central;Sudoeste/Octogonal
4610199;Central;Plano Piloto
9352813;Central;Plano Piloto
3464865;Central;Plano Piloto
9422153;Central;Sudoeste/Octogonal
6517307;Central;Plano Piloto
4403339;Central;Plano Piloto
9828583;Central;Plano Piloto
3806723;Central;Plano Piloto
7537581;Central;Plano Piloto
9249710;Central;Plano Piloto
4917383;Central;Plano Piloto
7599544;Central;Plano Piloto
4603958;Central;Plano Piloto
6394590;Central;Sudoeste/Octogonal
9776613;Central;Plano Piloto
788740;Central;Plano Piloto
9976701;Central;Plano Piloto
4492196;Central;Sudoeste/Octogonal
6692451;Central;Plano Piloto
3180670;Central;Plano Piloto
4938364;Central;Lago Norte
7950187;Central;Plano Piloto
5679990;Central;Plano Piloto
7901674;Central;Plano Piloto
9936165;Central;Plano Piloto
4645936;Central;Plano Piloto
4488539;Central;Plano Piloto
7991320;Central;Plano Piloto
9546103;Central;Plano Piloto
901768;Central;Plano Piloto
5152984;Central;Plano Piloto
9866671;Central;Plano Piloto
9406514;Central;Plano Piloto
4774388;Central;Plano Piloto
4383931;Central;Lago Sul
4139437;Central;Plano Piloto
5334071;Central;Plano Piloto
4472446;Central;Plano Piloto
3973077;Central;Plano Piloto
4540069;Central;Lago Norte
9638679;Central;Plano Piloto
9058982;Central;Plano Piloto
4162196;Central;Plano Piloto
4142977;Central;Plano Piloto
6677401;Central;Sudoeste/Octogonal
4385217;Central;Plano Piloto
5971195;Central;Plano Piloto
9921176;Central;Plano Piloto
9947914;Central;Plano Piloto
9278613;Central;Plano Piloto
228133;Central;Plano Piloto
857734;Central;Plano Piloto
7817614;Central;Plano Piloto
3406792;Central;Plano Piloto
896438;Central;Plano Piloto
4190912;Central;Plano Piloto
2914212;Central;Plano Piloto
4323920;Central;Plano Piloto
6637450;Central;Plano Piloto
4575571;Central;Plano Piloto
9189920;Oeste;Ceilândia
9578501;Oeste;Ceilândia
2617293;Oeste;Ceilândia
9509356;Oeste;Ceilândia
7491484;Oeste;Ceilândia
9578544;Oeste;Ceilândia
3022870;Oeste;Ceilândia
9586504;Oeste;Ceilândia
9482873;Oeste;Ceilândia
3677044;Oeste;Ceilândia
9578560;Oeste;Ceilândia
4226348;Oeste;Ceilândia
11509;Oeste;Brazlândia
9578536;Oeste;Brazlândia
4537955;Oeste;Ceilândia
6289185;Oeste;Ceilândia
7559186;Oeste;Ceilândia
4426185;Oeste;Ceilândia
9881433;Oeste;Ceilândia
4545257;Oeste;Ceilândia
3391450;Oeste;Ceilândia
9007261;Oeste;Ceilândia
5582199;Oeste;Ceilândia
4526368;Oeste;Pôr do Sol/ Sol Nascente
1131281;Oeste;Pôr do Sol/ Sol Nascente
5685230;Oeste;Ceilândia
9985719;Oeste;Ceilândia
223670;Oeste;Ceilândia
4384571;Oeste;Ceilândia
6854257;Oeste;Ceilândia
9075704;Oeste;Ceilândia
4519760;Oeste;Ceilândia
2973332;Oeste;Ceilândia
4347587;Oeste;Ceilândia
6527329;Oeste;Ceilândia
9246886;Oeste;Ceilândia
9830626;Oeste;Ceilândia
4571487;Oeste;Ceilândia
2804441;Oeste;Ceilândia
4096681;Oeste;Ceilândia
4138015;Oeste;Ceilândia
4213882;Oeste;Ceilândia
9289615;Oeste;Ceilândia
2934485;Oeste;Ceilândia
943290;Oeste;Ceilândia
2929961;Oeste;Ceilândia
